# Time-averaged data for fix info
# TimeStep v_temp v_ke v_pe v_etotal v_vol
11900 743.865 51.826 -834.772 -782.946 8612.51
12000 741.52 51.6626 -834.801 -783.138 8601.16
12100 742.737 51.7474 -835.004 -783.257 8761.72
12200 736.698 51.3266 -835.45 -784.123 8566.09
12300 731.101 50.9367 -836.118 -785.181 8536.73
12400 727.975 50.7189 -836.044 -785.325 8565.68
12500 743.928 51.8303 -834.916 -783.085 8716.6
12600 765.586 53.3393 -832.894 -779.555 8555.99
12700 768.106 53.5148 -833.026 -779.511 8496.44
12800 735.778 51.2625 -835.513 -784.25 8471.1
12900 729.46 50.8224 -836.206 -785.383 8471.1
13000 738.191 51.4307 -835.227 -783.796 8471.1
13100 751.581 52.3636 -834.259 -781.896 8632.89
13200 761.068 53.0245 -833.482 -780.458 8729.61
13300 748.979 52.1823 -834.501 -782.319 8527.73
13400 725.937 50.5769 -836.337 -785.76 8568.27
13500 723.095 50.3789 -836.573 -786.194 8670.59
13600 731.927 50.9942 -835.708 -784.713 8573.5
13700 762.934 53.1545 -833.24 -780.085 8383
13800 773.292 53.8762 -832.412 -778.536 8500.26
13900 760.737 53.0015 -833.553 -780.552 8664.02
14000 746.266 51.9933 -834.545 -782.552 8559.65
14100 735.792 51.2635 -835.599 -784.336 8622.84
14200 724.017 50.4431 -836.577 -786.134 8658
14300 720.162 50.1746 -836.767 -786.592 8658
14400 729.455 50.822 -836.128 -785.306 8661.07
14500 750.542 52.2912 -834.574 -782.283 8683.62
14600 755.915 52.6655 -833.959 -781.294 8608.43
14700 737.557 51.3865 -835.556 -784.169 8646.31
14800 718.621 50.0672 -836.849 -786.782 8719.23
14900 720.766 50.2166 -836.824 -786.607 8649.47
15000 729.182 50.803 -835.945 -785.142 8402.12
15100 754.864 52.5923 -834.278 -781.686 8329.81
15200 780.352 54.3681 -831.831 -777.463 8586.03
15300 766.658 53.414 -833.079 -779.665 8533.33
15400 747.218 52.0596 -834.577 -782.518 8625
15500 733.563 51.1082 -835.728 -784.62 8625
15600 717.148 49.9646 -836.97 -787.005 8625
15700 713.592 49.7168 -837.361 -787.644 8463.35
15800 722.001 50.3027 -836.737 -786.434 8627.92
15900 746.008 51.9753 -834.599 -782.623 8497.76
16000 755.513 52.6375 -833.846 -781.208 8466.04
16100 734.956 51.2053 -835.53 -784.324 8711.32
16200 718.513 50.0597 -836.867 -786.807 8671.36
16300 719.152 50.1042 -837.036 -786.932 8612.49
16400 724.943 50.5077 -836.292 -785.784 8614.76
16500 739.592 51.5283 -835.351 -783.823 8620.58
16600 752.075 52.398 -833.971 -781.573 8620.58
16700 744.253 51.853 -834.971 -783.118 8620.58
16800 718.117 50.0321 -836.913 -786.881 8574.74
16900 713.97 49.7431 -837.423 -787.68 8506.25
17000 715.067 49.8196 -837.084 -787.265 8557.2
17100 726.428 50.6111 -836.395 -785.784 8477.53
17200 746.639 52.0193 -834.577 -782.558 8477.53
17300 750.17 52.2652 -834.293 -782.028 8477.53
17400 726.663 50.6275 -836.383 -785.756 8477.53
17500 714.207 49.7597 -837.294 -787.534 8477.53
17600 711.839 49.5947 -837.424 -787.83 8477.53
17700 716.834 49.9427 -837.156 -787.214 8477.53
17800 732.067 51.004 -835.686 -784.682 8472.33
17900 749.749 52.2359 -834.306 -782.07 8530.01
18000 731.463 50.9619 -835.907 -784.945 8530.01
18100 709.473 49.4298 -837.603 -788.174 8597.58
18200 707.417 49.2866 -837.755 -788.468 8520.46
18300 715.092 49.8214 -837.167 -787.345 8520.46
18400 731.215 50.9447 -835.839 -784.894 8520.46
18500 747.44 52.0751 -834.442 -782.367 8531.34
18600 734.106 51.1461 -835.592 -784.445 8498.03
18700 711.775 49.5902 -837.343 -787.752 8612.42
18800 706.963 49.255 -837.809 -788.554 8754.99
18900 706.652 49.2333 -837.972 -788.738 8703.78
19000 711.95 49.6024 -837.633 -788.031 8592.3
19100 724.424 50.4715 -836.443 -785.972 8592.3
19200 730.123 50.8685 -836.177 -785.308 8508.15
19300 714.387 49.7722 -837.151 -787.378 8494.45
19400 696.135 48.5006 -838.635 -790.135 8494.45
19500 695.73 48.4723 -838.88 -790.407 8494.45
19600 709.184 49.4097 -837.758 -788.349 8494.45
19700 739.326 51.5097 -835.109 -783.599 8549.53
19800 760.898 53.0127 -833.408 -780.395 8570.95
19900 744.844 51.8942 -834.679 -782.785 8438.15
20000 726.361 50.6065 -836.197 -785.59 8918.11
20100 707.521 49.2938 -837.704 -788.411 8534.41
20200 695.176 48.4338 -838.749 -790.315 8518
20300 692.521 48.2488 -839.096 -790.847 8547.19
20400 705.772 49.172 -837.715 -788.543 8483.6
20500 734.639 51.1832 -835.497 -784.314 8545.72
20600 731.788 50.9845 -835.726 -784.742 8535.65
20700 714.347 49.7694 -837.296 -787.527 8515.54
20800 708.676 49.3743 -837.686 -788.312 8507.91
20900 701.017 48.8407 -838.39 -789.549 8505.34
21000 690.067 48.0778 -839.289 -791.211 8493.61
21100 676.233 47.114 -840.331 -793.217 8443.62
21200 665.224 46.347 -841.209 -794.862 8455.17
21300 681.413 47.4749 -840.127 -792.653 8526.08
21400 705.502 49.1532 -837.826 -788.673 8463.53
21500 713.4 49.7035 -837.477 -787.773 8451.62
21600 704.008 49.0491 -837.972 -788.923 8498.16
21700 684.972 47.7228 -839.761 -792.039 8482.42
21800 677.866 47.2278 -840.352 -793.125 8464.37
21900 683.261 47.6036 -839.735 -792.131 8454.86
22000 692.48 48.2459 -838.997 -790.751 8520.79
22100 703.854 49.0384 -838.215 -789.176 8516.72
22200 710.995 49.5359 -837.526 -787.99 8513.43
22300 706.77 49.2415 -837.894 -788.652 8492.59
22400 683.553 47.624 -839.537 -791.913 8478.83
22500 676.404 47.1259 -840.327 -793.201 8478.83
22600 685.728 47.7755 -839.513 -791.738 8455.54
22700 713.028 49.6775 -837.356 -787.679 8442.66
22800 720.087 50.1693 -836.885 -786.716 8560.87
22900 709.919 49.4609 -837.75 -788.289 8580.99
23000 696.58 48.5316 -838.685 -790.153 8597.46
23100 689.809 48.0598 -839.234 -791.175 8583.75
23200 683.573 47.6253 -839.762 -792.137 8573.82
23300 675.432 47.0581 -840.55 -793.492 8508.99
23400 665.099 46.3383 -841.201 -794.863 8485.01
23500 674.523 46.9949 -840.521 -793.526 8535.51
23600 696.735 48.5424 -838.572 -790.03 8580.28
23700 708.005 49.3276 -837.885 -788.557 8580.28
23800 697.175 48.573 -838.669 -790.096 8578.37
