# Time-averaged data for fix info
# TimeStep v_temp v_ke v_pe v_etotal v_vol
10800 153.507 0.0992119 -7.54999 -7.45078 864.893
10900 104.149 0.0673116 -7.57086 -7.50355 864.893
11000 97.3983 0.0629486 -7.59642 -7.53347 864.893
11100 73.3809 0.0474261 -7.59132 -7.54389 864.893
11200 107.012 0.0691619 -7.59669 -7.52753 864.893
11300 118.69 0.0767092 -7.5707 -7.49399 864.893
11400 93.5425 0.0604566 -7.54532 -7.48486 864.893
11500 145.708 0.0941709 -7.57301 -7.47884 864.893
11600 69.0136 0.0446035 -7.57048 -7.52588 864.893
11700 87.7088 0.0566863 -7.5956 -7.53891 864.893
11800 72.194 0.046659 -7.58549 -7.53883 864.893
11900 119.648 0.0773283 -7.56911 -7.49178 864.893
12000 146.271 0.0945348 -7.55262 -7.45808 864.893
12100 117.343 0.0758392 -7.57852 -7.50268 864.893
12200 82.8627 0.0535542 -7.58189 -7.52834 864.893
12300 90.0794 0.0582184 -7.59472 -7.5365 864.893
12400 76.6851 0.0495617 -7.59441 -7.54485 864.893
12500 86.7904 0.0560927 -7.58571 -7.52962 864.893
12600 118.168 0.076372 -7.55509 -7.47872 864.893
12700 123.674 0.0799308 -7.53631 -7.45637 864.893
12800 102.75 0.0664071 -7.55371 -7.4873 864.893
12900 100.798 0.0651456 -7.58967 -7.52452 864.893
13000 72.9981 0.0471787 -7.58203 -7.53485 864.893
13100 90.4705 0.0584711 -7.58229 -7.52382 864.893
13200 121.902 0.078785 -7.59485 -7.51607 864.893
13300 74.9686 0.0484522 -7.59844 -7.54999 864.893
13400 54.2241 0.0350451 -7.6131 -7.57806 864.893
13500 43.1071 0.0278601 -7.59814 -7.57028 864.893
13600 78.3769 0.050655 -7.59509 -7.54444 864.893
13700 90.3641 0.0584024 -7.58486 -7.52646 864.893
13800 96.2503 0.0622066 -7.56673 -7.50453 864.893
13900 119.515 0.0772428 -7.55899 -7.48175 864.893
14000 104.439 0.0674993 -7.57131 -7.50381 864.893
14100 66.3172 0.0428608 -7.5972 -7.55434 864.893
14200 63.0518 0.0407504 -7.59758 -7.55683 864.893
14300 88.1263 0.0569561 -7.58594 -7.52898 864.893
14400 95.0557 0.0614345 -7.56027 -7.49884 864.893
14500 112.866 0.0729452 -7.56797 -7.49502 864.893
14600 109.108 0.0705165 -7.5748 -7.50428 864.893
14700 103.391 0.0668217 -7.6 -7.53317 864.893
14800 55.9746 0.0361765 -7.5869 -7.55072 864.893
14900 81.3421 0.0525715 -7.59194 -7.53937 864.893
15000 85.9919 0.0555766 -7.58502 -7.52944 864.893
15100 98.6269 0.0637427 -7.58639 -7.52264 864.893
15200 93.8082 0.0606283 -7.57823 -7.5176 864.893
15300 103.782 0.0670741 -7.57766 -7.51059 864.893
15400 93.1443 0.0601992 -7.56392 -7.50372 864.893
15500 108.565 0.0701658 -7.57754 -7.50737 864.893
15600 87.3122 0.0564299 -7.59549 -7.53906 864.893
15700 59.5796 0.0385064 -7.60664 -7.56814 864.893
15800 62.7728 0.0405701 -7.60057 -7.56 864.893
15900 89.1114 0.0575928 -7.57421 -7.51662 864.893
16000 100.068 0.0646742 -7.56874 -7.50406 864.893
16100 91.5919 0.0591959 -7.57069 -7.5115 864.893
16200 82.3248 0.0532066 -7.58399 -7.53078 864.893
16300 67.8014 0.0438201 -7.59394 -7.55012 864.893
16400 56.132 0.0362781 -7.59634 -7.56006 864.893
16500 73.6743 0.0476157 -7.58825 -7.54063 864.893
16600 112.617 0.0727843 -7.57026 -7.49747 864.893
16700 107.89 0.0697296 -7.55429 -7.48456 864.893
16800 91.6022 0.0592026 -7.56999 -7.51079 864.893
16900 71.7562 0.0463761 -7.59537 -7.549 864.893
17000 59.8484 0.0386801 -7.60052 -7.56184 864.893
17100 66.1364 0.042744 -7.59651 -7.55377 864.893
17200 75.1403 0.0485632 -7.58617 -7.5376 864.893
17300 100.641 0.0650445 -7.57434 -7.50929 864.893
17400 120.503 0.0778813 -7.5737 -7.49582 864.893
17500 81.5219 0.0526877 -7.58917 -7.53648 864.893
17600 59.3537 0.0383603 -7.6034 -7.56504 864.893
17700 53.9511 0.0348686 -7.59238 -7.55751 864.893
17800 71.4192 0.0461583 -7.57996 -7.5338 864.893
17900 101.405 0.065538 -7.58223 -7.5167 864.893
18000 95.6011 0.0617871 -7.58014 -7.51836 864.893
18100 81.365 0.0525862 -7.58714 -7.53455 864.893
18200 51.1451 0.0330551 -7.5964 -7.56334 864.893
18300 54.9818 0.0355348 -7.60923 -7.57369 864.893
18400 70.8038 0.0457605 -7.59106 -7.5453 864.893
18500 103.768 0.0670653 -7.57275 -7.50569 864.893
18600 107.553 0.0695114 -7.57747 -7.50796 864.893
18700 84.998 0.0549343 -7.59106 -7.53612 864.893
18800 65.9737 0.0426388 -7.6018 -7.55916 864.893
18900 62.6362 0.0404818 -7.59884 -7.55836 864.893
19000 108.888 0.0703742 -7.57643 -7.50605 864.893
19100 114.528 0.0740197 -7.5671 -7.49308 864.893
19200 88.4562 0.0571693 -7.58345 -7.52628 864.893
19300 73.3868 0.04743 -7.59465 -7.54722 864.893
19400 72.2804 0.0467149 -7.59106 -7.54434 864.893
19500 123.335 0.0797112 -7.56561 -7.4859 864.893
19600 132.406 0.0855738 -7.56798 -7.48241 864.893
19700 83.4162 0.053912 -7.58203 -7.52812 864.893
19800 74.5337 0.0481712 -7.59175 -7.54357 864.893
19900 81.0199 0.0523632 -7.58824 -7.53587 864.893
20000 103.428 0.0668459 -7.55175 -7.48491 864.893
20100 157.565 0.101834 -7.562 -7.46017 864.893
20200 106.24 0.0686629 -7.57857 -7.50991 864.893
20300 79.6075 0.0514504 -7.59311 -7.54166 864.893
20400 73.9513 0.0477948 -7.5948 -7.547 864.893
20500 75.4977 0.0487942 -7.57352 -7.52473 864.893
20600 129.974 0.0840024 -7.55566 -7.47166 864.893
20700 120.733 0.0780298 -7.5633 -7.48527 864.893
20800 80.3675 0.0519416 -7.57503 -7.52309 864.893
20900 74.8754 0.0483921 -7.58075 -7.53236 864.893
21000 89.2516 0.0576834 -7.58306 -7.52537 864.893
21100 113.494 0.0733514 -7.56495 -7.49159 864.893
21200 132.854 0.0858635 -7.53083 -7.44497 864.893
21300 119.56 0.077272 -7.563 -7.48573 864.893
21400 75.1695 0.0485821 -7.5808 -7.53222 864.893
21500 83.3628 0.0538774 -7.5893 -7.53542 864.893
21600 89.2651 0.0576921 -7.58637 -7.52867 864.893
21700 102.792 0.0664344 -7.5755 -7.50907 864.893
21800 122.978 0.0794808 -7.55846 -7.47898 864.893
21900 112.98 0.0730189 -7.55885 -7.48583 864.893
22000 79.3981 0.0513151 -7.58832 -7.537 864.893
22100 68.302 0.0441436 -7.59804 -7.55389 864.893
22200 70.7384 0.0457183 -7.58973 -7.54401 864.893
22300 97.2606 0.0628596 -7.5716 -7.50874 864.893
22400 148.951 0.096267 -7.56544 -7.46917 864.893
22500 79.1655 0.0511648 -7.5774 -7.52623 864.893
22600 67.1902 0.0434251 -7.60135 -7.55793 864.893
22700 72.531 0.0468769 -7.59795 -7.55107 864.893
22800 91.6816 0.0592539 -7.57969 -7.52043 864.893
22900 116.623 0.0753733 -7.56924 -7.49387 864.893
23000 95.2194 0.0615404 -7.58022 -7.51868 864.893
23100 64.128 0.041446 -7.60072 -7.55928 864.893
23200 63.661 0.0411442 -7.6018 -7.56066 864.893
23300 65.906 0.0425951 -7.58568 -7.54308 864.893
23400 91.0888 0.0588708 -7.57692 -7.51805 864.893
23500 101.865 0.0658356 -7.57708 -7.51124 864.893
23600 92.0233 0.0594747 -7.58243 -7.52295 864.893
23700 81.9667 0.0529751 -7.5867 -7.53372 864.893
23800 81.2623 0.0525199 -7.58669 -7.53417 864.893
23900 85.9177 0.0555286 -7.5861 -7.53057 864.893
24000 89.2959 0.057712 -7.58739 -7.52968 864.893
24100 77.6163 0.0501634 -7.58559 -7.53543 864.893
24200 74.8414 0.04837 -7.58784 -7.53947 864.893
24300 82.2798 0.0531775 -7.58756 -7.53438 864.893
24400 97.9876 0.0633294 -7.57871 -7.51538 864.893
24500 104.06 0.0672539 -7.56714 -7.49989 864.893
24600 92.9908 0.0601 -7.57783 -7.51773 864.893
24700 67.8009 0.0438198 -7.5983 -7.55448 864.893
24800 48.639 0.0314354 -7.59572 -7.56428 864.893
24900 78.2342 0.0505628 -7.58845 -7.53789 864.893
25000 98.458 0.0636335 -7.577 -7.51337 864.893
25100 93.1792 0.0602218 -7.58242 -7.5222 864.893
25200 67.5114 0.0436327 -7.58154 -7.53791 864.893
25300 79.6348 0.051468 -7.58901 -7.53754 864.893
25400 94.0637 0.0607934 -7.57194 -7.51115 864.893
25500 136.42 0.0881683 -7.56652 -7.47835 864.893
25600 92.0193 0.0594721 -7.5725 -7.51302 864.893
