# Time-averaged data for fix info
# TimeStep v_temp v_ke v_pe v_etotal v_vol
11800 506.658 10.3475 -300.833 -290.485 24252.1
11900 525.047 10.7231 -300.686 -289.963 24252.1
12000 492.929 10.0671 -301.641 -291.574 24252.1
12100 472.847 9.657 -302.19 -292.533 24252.1
12200 452.558 9.24265 -302.341 -293.099 24252.1
12300 442.381 9.03479 -302.372 -293.338 24252.1
12400 461.187 9.41887 -302.015 -292.597 24252.1
12500 496.732 10.1448 -301.403 -291.259 24252.1
12600 496.03 10.1305 -301.676 -291.545 24252.1
12700 469.351 9.58561 -302.071 -292.486 24252.1
12800 454.385 9.27996 -302.16 -292.88 24252.1
12900 459.108 9.37641 -302.129 -292.752 24252.1
13000 475.596 9.71315 -302.013 -292.3 24252.1
13100 493.918 10.0873 -301.549 -291.462 24252.1
13200 491.682 10.0417 -301.336 -291.295 24252.1
13300 458.193 9.35772 -301.927 -292.57 24252.1
13400 441.353 9.0138 -302.391 -293.377 24252.1
13500 451.46 9.22021 -302.474 -293.254 24252.1
13600 467.486 9.54751 -301.903 -292.355 24252.1
13700 513.524 10.4878 -301.335 -290.847 24252.1
13800 501.441 10.241 -301.468 -291.227 24252.1
13900 476.598 9.73361 -301.951 -292.217 24252.1
14000 459.961 9.39383 -302.435 -293.041 24252.1
14100 442.042 9.02786 -302.525 -293.497 24252.1
14200 448.891 9.16775 -302.458 -293.29 24252.1
14300 478.238 9.76711 -301.636 -291.869 24252.1
14400 489.31 9.99323 -301.419 -291.426 24252.1
14500 471.935 9.63839 -301.913 -292.274 24252.1
14600 451.883 9.22885 -302.249 -293.02 24252.1
14700 449.755 9.18539 -302.386 -293.201 24252.1
14800 455.167 9.29591 -302.28 -292.984 24252.1
14900 462.06 9.43671 -302.182 -292.745 24252.1
15000 481.313 9.82991 -301.975 -292.145 24252.1
15100 480.633 9.81602 -301.813 -291.997 24252.1
15200 463.466 9.46542 -302.293 -292.827 24252.1
15300 438.942 8.96456 -302.75 -293.785 24252.1
15400 435.249 8.88914 -302.719 -293.83 24252.1
15500 458.725 9.36858 -302.163 -292.795 24252.1
15600 483.727 9.8792 -301.481 -291.601 24252.1
15700 479.161 9.78596 -301.659 -291.873 24252.1
15800 461.014 9.41533 -302.039 -292.624 24252.1
15900 445.178 9.09191 -302.354 -293.262 24252.1
16000 441.467 9.01612 -302.483 -293.467 24252.1
16100 458.044 9.35467 -302.034 -292.679 24252.1
16200 499.259 10.1964 -301.3 -291.103 24252.1
16300 484.619 9.89743 -301.463 -291.565 24252.1
16400 452.082 9.23292 -302.073 -292.84 24252.1
16500 444.095 9.06979 -302.45 -293.38 24252.1
16600 442.712 9.04155 -302.499 -293.457 24252.1
16700 459.718 9.38887 -302.169 -292.78 24252.1
16800 492.116 10.0505 -301.55 -291.5 24252.1
16900 484.496 9.89491 -301.679 -291.784 24252.1
17000 458.533 9.36467 -302.291 -292.926 24252.1
17100 447.993 9.14941 -302.499 -293.35 24252.1
17200 449.683 9.18393 -302.62 -293.436 24252.1
17300 442.233 9.03178 -302.642 -293.611 24252.1
17400 431.739 8.81746 -302.608 -293.79 24252.1
17500 443.746 9.06267 -302.428 -293.366 24252.1
17600 466.896 9.53547 -302.085 -292.55 24252.1
17700 477.574 9.75355 -301.938 -292.184 24252.1
17800 448.35 9.1567 -302.427 -293.27 24252.1
17900 426.878 8.71818 -302.956 -294.237 24252.1
18000 429.342 8.76849 -302.755 -293.986 24252.1
18100 448.509 9.15995 -302.343 -293.183 24252.1
18200 461.961 9.43467 -302.017 -292.582 24252.1
18300 456.989 9.33313 -302.08 -292.747 24252.1
18400 417.3 8.52256 -302.934 -294.411 24252.1
18500 412.654 8.42767 -303.174 -294.746 24252.1
18600 437.236 8.92972 -302.598 -293.669 24252.1
18700 457.728 9.34824 -302.222 -292.873 24252.1
18800 460.427 9.40334 -302.37 -292.966 24252.1
18900 434.649 8.87688 -302.803 -293.926 24252.1
19000 409.168 8.35648 -303.321 -294.964 24252.1
19100 416.505 8.50632 -303.262 -294.755 24252.1
19200 425.819 8.69655 -302.925 -294.229 24252.1
19300 441.765 9.0222 -302.58 -293.558 24252.1
19400 457.321 9.33992 -302.248 -292.908 24252.1
19500 463.935 9.47498 -302.199 -292.724 24252.1
19600 442.86 9.04458 -302.616 -293.572 24252.1
19700 419.379 8.56503 -303.163 -294.598 24252.1
19800 422.717 8.63319 -303.171 -294.538 24252.1
19900 446.343 9.11572 -302.583 -293.467 24252.1
20000 464.171 9.47981 -302.017 -292.537 24252.1
20100 459.164 9.37755 -302.112 -292.735 24252.1
20200 447.426 9.13782 -302.343 -293.205 24252.1
20300 440.277 8.99183 -302.697 -293.705 24252.1
20400 431.416 8.81085 -302.816 -294.005 24252.1
20500 425.087 8.6816 -303.006 -294.324 24252.1
20600 417.729 8.53133 -303.039 -294.508 24252.1
20700 430.295 8.78796 -302.639 -293.851 24252.1
20800 459.319 9.38071 -302.274 -292.894 24252.1
20900 459.685 9.38819 -302.297 -292.909 24252.1
21000 433.886 8.86129 -302.991 -294.13 24252.1
21100 410.137 8.37627 -303.278 -294.901 24252.1
21200 419.811 8.57385 -303.042 -294.468 24252.1
21300 440.718 9.00083 -302.796 -293.796 24252.1
21400 451.317 9.2173 -302.636 -293.419 24252.1
21500 439.857 8.98324 -302.733 -293.749 24252.1
21600 397.804 8.12439 -303.356 -295.232 24252.1
21700 401.879 8.20762 -303.48 -295.273 24252.1
21800 429.885 8.77958 -303.074 -294.294 24252.1
21900 443.213 9.05179 -302.602 -293.55 24252.1
22000 448.588 9.16156 -302.582 -293.42 24252.1
22100 429.308 8.76781 -302.881 -294.113 24252.1
22200 402.256 8.21532 -303.721 -295.506 24252.1
22300 399.539 8.15983 -303.59 -295.43 24252.1
22400 415.877 8.4935 -303.098 -294.605 24252.1
22500 432.163 8.82612 -302.698 -293.872 24252.1
22600 440.521 8.9968 -302.459 -293.462 24252.1
22700 443.372 9.05504 -302.357 -293.302 24252.1
22800 430.766 8.79757 -302.816 -294.019 24252.1
22900 403.747 8.24577 -303.424 -295.178 24252.1
23000 408.117 8.33502 -303.293 -294.958 24252.1
23100 431.442 8.81139 -302.66 -293.849 24252.1
23200 443.135 9.05019 -302.473 -293.423 24252.1
23300 441.033 9.00725 -302.601 -293.594 24252.1
23400 429.212 8.76585 -303.052 -294.287 24252.1
23500 401.996 8.21 -303.696 -295.486 24252.1
23600 379.112 7.74264 -304.127 -296.384 24252.1
23700 405.077 8.27293 -303.448 -295.175 24252.1
23800 435.968 8.90381 -302.779 -293.875 24252.1
23900 444.369 9.0754 -302.481 -293.405 24252.1
24000 444.211 9.07217 -302.636 -293.563 24252.1
24100 423.024 8.63945 -303.12 -294.481 24252.1
24200 405.309 8.27766 -303.403 -295.126 24252.1
24300 413.772 8.4505 -303.27 -294.82 24252.1
24400 449.358 9.17729 -302.452 -293.275 24252.1
24500 449.38 9.17773 -302.303 -293.125 24252.1
24600 435.722 8.8988 -302.738 -293.839 24252.1
24700 417.939 8.53561 -303.106 -294.571 24252.1
24800 416.096 8.49798 -303.271 -294.773 24252.1
24900 430.312 8.7883 -303.007 -294.218 24252.1
25000 462.414 9.44393 -301.951 -292.507 24252.1
25100 461.314 9.42146 -302.142 -292.72 24252.1
25200 429.224 8.76608 -302.737 -293.971 24252.1
25300 417.951 8.53585 -303.158 -294.622 24252.1
25400 417.834 8.53346 -303.232 -294.699 24252.1
25500 428.606 8.75346 -302.924 -294.17 24252.1
25600 463.113 9.4582 -302.352 -292.894 24252.1
25700 456.722 9.32769 -302.293 -292.965 24252.1
25800 430.944 8.8012 -302.911 -294.109 24252.1
25900 424.078 8.66099 -303.173 -294.512 24252.1
26000 418.155 8.54003 -303.198 -294.658 24252.1
26100 417.979 8.53642 -303.09 -294.553 24252.1
26200 428.627 8.75389 -302.666 -293.912 24252.1
26300 457.384 9.3412 -302.32 -292.979 24252.1
26400 453.283 9.25744 -302.584 -293.327 24252.1
26500 418.728 8.55173 -303.173 -294.621 24252.1
26600 410.771 8.38921 -303.323 -294.934 24252.1
26700 415.631 8.48847 -303.103 -294.615 24252.1
26800 434.15 8.86668 -302.593 -293.727 24252.1
26900 459.168 9.37764 -302.264 -292.886 24252.1
27000 441.184 9.01034 -302.506 -293.495 24252.1
27100 409.496 8.36318 -303.321 -294.958 24252.1
27200 400.638 8.18227 -303.341 -295.158 24252.1
27300 414.817 8.47186 -303.021 -294.549 24252.1
27400 439.988 8.98592 -302.58 -293.594 24252.1
27500 441.767 9.02225 -302.497 -293.475 24252.1
27600 415.534 8.48649 -303.22 -294.733 24252.1
27700 393.293 8.03227 -303.61 -295.577 24252.1
27800 404.802 8.26731 -303.456 -295.188 24252.1
27900 429.011 8.76174 -303.003 -294.242 24252.1
28000 436.503 8.91474 -302.789 -293.874 24252.1
28100 422.4 8.62672 -303.13 -294.503 24252.1
28200 394.158 8.04993 -303.715 -295.665 24252.1
28300 394.134 8.04944 -303.679 -295.63 24252.1
28400 410.389 8.38141 -303.274 -294.893 24252.1
