
 159 atoms
 6 atom types

 0.000000 85.32567 xlo xhi
 0.000000 2.84229537522053 ylo yhi
 0.000000 100.00000 zlo zhi
 -1.641 0.000000  0.000000 xy xz yz

 Masses 

1    95.950000
2    32.060000
3    32.060000
4   183.840000
5    78.971000
6    78.971000

 Atoms

   1 1     0.000000     0.000000     1.585926
   2 2     0.000000     1.824913     0.000000
   3 3     0.000000     1.824913     3.171852
   4 1     3.160210     0.000000     1.585926
   5 2     3.160210     1.824913     0.000000
   6 3     3.160210     1.824913     3.171852
   7 1     6.320420     0.000000     1.585926
   8 2     6.320420     1.824913     0.000000
   9 3     6.320420     1.824913     3.171852
  10 1     9.480630     0.000000     1.585926
  11 2     9.480630     1.824913     0.000000
  12 3     9.480630     1.824913     3.171852
  13 1    12.640840     0.000000     1.585926
  14 2    12.640840     1.824913     0.000000
  15 3    12.640840     1.824913     3.171852
  16 1    15.801050     0.000000     1.585926
  17 2    15.801050     1.824913     0.000000
  18 3    15.801050     1.824913     3.171852
  19 1    18.961260     0.000000     1.585926
  20 2    18.961260     1.824913     0.000000
  21 3    18.961260     1.824913     3.171852
  22 1    22.121470     0.000000     1.585926
  23 2    22.121470     1.824913     0.000000
  24 3    22.121470     1.824913     3.171852
  25 1    25.281680     0.000000     1.585926
  26 2    25.281680     1.824913     0.000000
  27 3    25.281680     1.824913     3.171852
  28 1    28.441890     0.000000     1.585926
  29 2    28.441890     1.824913     0.000000
  30 3    28.441890     1.824913     3.171852
  31 1    31.602100     0.000000     1.585926
  32 2    31.602100     1.824913     0.000000
  33 3    31.602100     1.824913     3.171852
  34 1    34.762310     0.000000     1.585926
  35 2    34.762310     1.824913     0.000000
  36 3    34.762310     1.824913     3.171852
  37 1    37.922520     0.000000     1.585926
  38 2    37.922520     1.824913     0.000000
  39 3    37.922520     1.824913     3.171852
  40 1    41.082730     0.000000     1.585926
  41 2    41.082730     1.824913     0.000000
  42 3    41.082730     1.824913     3.171852
  43 1    44.242940     0.000000     1.585926
  44 2    44.242940     1.824913     0.000000
  45 3    44.242940     1.824913     3.171852
  46 1    47.403150     0.000000     1.585926
  47 2    47.403150     1.824913     0.000000
  48 3    47.403150     1.824913     3.171852
  49 1    50.563360     0.000000     1.585926
  50 2    50.563360     1.824913     0.000000
  51 3    50.563360     1.824913     3.171852
  52 1    53.723570     0.000000     1.585926
  53 2    53.723570     1.824913     0.000000
  54 3    53.723570     1.824913     3.171852
  55 1    56.883780     0.000000     1.585926
  56 2    56.883780     1.824913     0.000000
  57 3    56.883780     1.824913     3.171852
  58 1    60.043990     0.000000     1.585926
  59 2    60.043990     1.824913     0.000000
  60 3    60.043990     1.824913     3.171852
  61 1    63.204200     0.000000     1.585926
  62 2    63.204200     1.824913     0.000000
  63 3    63.204200     1.824913     3.171852
  64 1    66.364410     0.000000     1.585926
  65 2    66.364410     1.824913     0.000000
  66 3    66.364410     1.824913     3.171852
  67 1    69.524620     0.000000     1.585926
  68 2    69.524620     1.824913     0.000000
  69 3    69.524620     1.824913     3.171852
  70 1    72.684830     0.000000     1.585926
  71 2    72.684830     1.824913     0.000000
  72 3    72.684830     1.824913     3.171852
  73 1    75.845040     0.000000     1.585926
